Id,Name,Sex,Birthdate,Height,Weight,Result
0,Alex,M,2/15/1961 12:00:00 AM,195.002700025033,96.4972999395924,True
1,Chris,M,6/16/1982 12:00:00 AM,158.001289934346,55.7319611752758,True
2,David,M,8/31/1961 12:00:00 AM,182.619268691123,88.0214009184261,True
3,Eric,M,3/9/1970 12:00:00 AM,158.147865651956,54.7331901739668,False
4,Frederic,M,3/16/1968 12:00:00 AM,181.022821305014,77.0053142718878,True
5,George,M,7/31/1987 12:00:00 AM,192.631827116104,88.3822398425084,True
6,Hans,M,3/29/1987 12:00:00 AM,158.992351868822,61.0295929878455,False
7,Igor,M,12/4/1970 12:00:00 AM,173.855332213293,84.6326390799972,True
8,John,M,11/18/1953 12:00:00 AM,189.050626099878,100.950651995219,True
9,Kevin,M,5/16/1953 12:00:00 AM,197.471148524168,77.4193049337846,True
10,Luke,M,7/23/1966 12:00:00 AM,156.572365070214,47.7816563565785,False
11,Mark,M,1/13/1967 12:00:00 AM,178.170779316748,84.1877123598489,False
12,Oscar,M,3/20/1990 12:00:00 AM,158.643371299904,62.3357997179452,True
13,Peter,M,10/15/1983 12:00:00 AM,192.939569392805,88.279960302627,True
14,Richard,M,9/30/1958 12:00:00 AM,170.944699757282,69.777699260842,True
15,Stephan,M,11/29/1974 12:00:00 AM,191.030695408274,96.9187140781486,True
16,Thomas,M,11/11/1963 12:00:00 AM,150.983925740809,74.3836207916296,True
17,Vincent,M,4/9/1949 12:00:00 AM,191.167939153281,82.5681910285133,False
18,Anne,F,8/2/1997 12:00:00 AM,156.232158604029,50.2680148089773,False
19,Belle,F,7/15/1999 12:00:00 AM,177.537413747771,83.6624491049266,False
20,Dorothy,F,2/18/1945 12:00:00 AM,171.525026737705,72.9477514750331,True
21,Elizabeth,F,3/28/1977 12:00:00 AM,149.958612087858,58.3408360510957,True
22,Fiona,F,8/9/1979 12:00:00 AM,156.044704181461,57.1356623282959,False
23,Helen,F,7/11/1989 12:00:00 AM,144.135636211977,53.4785148049917,False
24,Julia,F,12/13/1979 12:00:00 AM,151.085368541246,42.3682912911946,True
25,Kate,F,11/13/1956 12:00:00 AM,154.645128322199,47.1663949453764,False
26,Louise,F,9/25/1997 12:00:00 AM,146.921410427052,45.5988689618024,True
27,Mary,F,3/10/1957 12:00:00 AM,134.435930598733,37.480329197956,False
28,Natalie,F,4/3/1955 12:00:00 AM,163.001592659818,63.0167010630254,True
29,Olivia,F,6/22/1984 12:00:00 AM,136.697505639537,38.3606018818186,False
30,Ruth,F,2/5/1983 12:00:00 AM,166.010596621587,64.5879038528292,True
31,Sarah,F,5/13/1949 12:00:00 AM,158.380671567996,69.4090545826006,True
32,Theresa,F,6/6/1993 12:00:00 AM,153.811097903498,58.5299377715572,False
33,Viola,F,8/12/1992 12:00:00 AM,143.421162823394,52.5448599821321,False
